formula,band_gap,formation_energy_per_atom,energy_above_hull,density,volume
Ba5LaSi6,0.0,-0.44705670833333305,0.0,4.334585270043542,1523.2503396641773
Ba5Nb2O11,2.4160999999999992,-2.921361891388888,0.126543717500009,5.7292084147619,607.7549913267641
Ba5Nb4O15,2.5999,-3.271554933958334,0.0,6.09916822830891,353.45760053425505
Ba5Si8O21,4.3763,-3.368877553970587,0.005006257867643,3.852957080061212,1075.1228016208788
Ba5Ta4O15,3.0865,-3.439217441430571,0.0,7.861626879830266,348.602497937457
Ba6Ga2Co11O26,0.0,-1.841235779222222,0.074108705611112,5.976116033098123,563.4101728465324
Ba6La2Fe4O15,2.396199999999999,-2.701463833518519,0.0,5.900595156101719,880.9222081723998
Ba6Mn5O16,1.3114,-2.523109913320509,0.0022011511728920003,5.901392516745032,762.3410893992767
Ba6Nd2Fe4O15,2.3557,-2.681690976851851,0.0,5.877151841456913,890.4672742515856
Ba6Pr2Fe4O15,2.368999999999999,-2.675031596234568,0.0,5.828935708853253,894.0335538377697
Ba6Sn6Se13,9.999999999976698e-05,-1.46789847151875,0.0,5.206075344622927,3269.615981604411
Ba6Sn7S20,1.3643,-1.3475262210606052,0.0,4.015307072948397,1899.2235825078342
Ba7Nb4MoO20,2.6403,-3.137707041249999,0.008759826093751,5.583196718883869,520.1359493512045
Ba8Ti3Nb4O24,1.9693,-3.337986506923076,0.018461905384624,5.820078023724336,570.0046679939771
BaAl2B2O7,4.6477,-3.252279562777777,0.0,2.934278466072675,183.86878729297558
BaAl2O4,4.1027,-3.448150932499999,0.0,4.048522256479207,837.6689258086527
BaAl4Se7,2.3933,-1.370573937617186,0.018614572500001002,4.129855151017178,641.7007611769973
BaAlBO3F2,6.0642,-3.5424739598958332,0.0,4.479093089788436,193.60656013981784
BaBiO3,0.0,-2.233427010999999,0.0,7.825829472632553,334.66604672074277
BaBrCl,4.6793,-2.7891997933333332,0.0,4.372520831685485,383.8441664718276
BaCa2Y6O12,2.8906,-3.6826398838095242,0.04468178964286,4.975655887823296,314.6801991682611
BaCaBO3F,3.867999999999999,-3.447079753214285,0.006657377482997001,3.984099223608827,319.11140319322527
